name,ra_hours,dec_deg,mag,con
Gamma Cen,12.691971,-48.959888,2.2,Cen
Naos,8.059737,-40.003148,2.21,Pup
Aspidiske,9.284838,-59.275229,2.21,Car
Alphecca,15.578128,26.714693,2.22,CrB
Suhail,9.133268,-43.432589,2.23,Vel
Mizar,13.398747,54.925362,2.23,UMa
Sadr,20.370473,40.256679,2.23,Cyg
Schedar,0.675116,56.537331,2.24,Cas
Eltanin,17.943437,51.488895,2.24,Dra
Mintaka,5.533445,-0.299092,2.25,Ori
Caph,0.152887,59.14978,2.28,Cas
Epsilon Cen,13.664796,-53.466394,2.29,Cen
Dschubba,16.005557,-22.62171,2.29,Sco
Larawag,16.83608,-34.293232,2.29,Sco
Alpha Lup,14.698823,-47.3882,2.3,Lup
Eta Cen,14.591786,-42.157824,2.33,Cen
Merak,11.030677,56.382427,2.34,UMa
Izar,14.749784,27.074222,2.35,Boo
Enif,21.736433,9.875011,2.38,Peg
Kappa Sco,17.708132,-39.029983,2.39,Sco
Ankaa,0.438056,-42.305981,2.4,Phe
Phecda,11.897168,53.69476,2.41,UMa
Sabik,17.172968,-15.72491,2.43,Oph
Scheat,23.062901,28.082789,2.44,Peg
Aludra,7.401584,-29.303104,2.45,CMa
Alderamin,21.30963,62.585573,2.45,Cep
Markeb,9.368562,-55.010668,2.47,Vel
Aljanah,20.770178,33.970256,2.48,Cyg
Markab,23.079348,15.205264,2.49,Peg
Menkar,3.037992,4.089734,2.54,Cet
Zeta Oph,16.619316,-10.56709,2.54,Oph
Zeta Cen,13.925667,-47.288375,2.55,Cen
Zosma,11.235138,20.523717,2.56,Leo
Acrab,16.09062,-19.805453,2.56,Sco
Arneb,5.545504,-17.822289,2.58,Lep
Delta Cen,12.13931,-50.722425,2.58,Cen
Gienah,12.263437,-17.541929,2.58,Crv
Ascella,19.043532,-29.880105,2.6,Sgr
Zubeneschamali,15.283449,-9.382917,2.61,Lib
Unukalhai,15.737798,6.425627,2.63,Ser
Sheratan,1.910668,20.808035,2.64,Ari
Phact,5.660817,-34.074108,2.65,Col
Mahasim,5.995351,37.212585,2.65,Aur
Kraz,12.573121,-23.396759,2.65,Crv
Ruchbah,1.430216,60.235283,2.66,Cas
Muphrid,13.911411,18.397717,2.68,Boo
Beta Lup,14.975537,-43.13396,2.68,Lup
Hassaleh,4.949894,33.16609,2.69,Aur
Mu Vel,10.779488,-49.420255,2.69,Vel
Alpha Mus,12.619739,-69.135564,2.69,Mus
Lesath,17.512732,-37.295811,2.7,Sco
Pi Pup,7.285711,-37.09747,2.71,Pup
Kaus Media,18.3499,-29.828103,2.72,Sgr
Tarazed,19.770994,10.613261,2.72,Aql
Yed Prior,16.239094,-3.694323,2.73,Oph
Athebyne,16.39986,61.514213,2.73,Dra
Theta Car,10.715949,-64.39445,2.74,Car
Porrima,12.694345,-1.449375,2.74,Vir
Hatysa,5.590551,-5.909901,2.75,Ori
Iota Cen,13.343296,-36.712295,2.75,Cen
Zubenelgenubi,14.847977,-16.041778,2.75,Lib
Cebalrai,17.724543,4.567303,2.76,Oph
Cursa,5.130829,-5.086446,2.78,Eri
Kornephoros,16.503668,21.489613,2.78,Her
Rasalgethi,17.244127,14.390333,2.78,Her
Imai,12.252427,-58.748928,2.79,Cru
Rastaban,17.507213,52.301387,2.79,Dra
Gamma Lup,15.585681,-41.166757,2.8,Lup
Nihal,5.470756,-20.759441,2.81,Lep
Zeta Her,16.688113,31.602726,2.81,Her
Beta Hyi,0.427916,-77.254247,2.82,Hyi
Paikauhale,16.598043,-28.216016,2.82,Sco
Kaus Borealis,18.466179,-25.4217,2.82,Sgr
Algenib,0.220598,15.183596,2.83,Peg
Tureis,8.125737,-24.304324,2.83,Pup
Beta TrA,15.919083,-63.430727,2.83,TrA
Zeta Per,3.9022,31.883635,2.84,Per
Beta Ara,17.421665,-55.529884,2.84,Ara
Alpha Ara,17.530695,-49.876145,2.84,Ara
Alcyone,3.79141,24.105137,2.85,Tau
Vindemiatrix,13.036278,10.95915,2.85,Vir
Deneb Algedi,21.784011,-16.127286,2.85,Cap
Castor B,7.576827,31.89052,2.85,Gem
Alpha Hyi,1.979451,-61.569859,2.86,Hyi
Fawaris,19.749574,45.13081,2.86,Cyg
Tejat,6.382673,22.513586,2.87,Gem
Gamma TrA,15.315181,-68.679545,2.87,TrA
Alpha Tuc,22.308371,-60.259587,2.87,Tuc
Acamar,2.971023,-40.304672,2.88,Eri
Albaldah,19.162731,-21.023615,2.88,Sgr
Gomeisa,7.452512,8.289315,2.89,CMi
Cor Caroli,12.933807,38.31838,2.89,CVn
Fang,15.980865,-26.114105,2.89,Sco
Epsilon Per,3.96423,40.010215,2.9,Per
Alniyat,16.353143,-25.592796,2.9,Sco
Sadalsuud,21.525982,-5.571172,2.9,Aqr
Gamma Per,3.079942,53.50644,2.91,Per
Upsilon Car,9.785036,-65.072007,2.92,Car
Matar,22.716704,30.221245,2.93,Peg
Tau Pup,6.832266,-50.61456,2.94,Pup
Algorab,12.497739,-16.515432,2.94,Crv
Sadalmelik,22.096399,-0.319851,2.95,Aqr
Zaurak,3.967157,-13.508515,2.97,Eri
Tianguan,5.627413,21.142549,2.97,Tau
Ras Elased Australis,9.764188,23.774255,2.97,Leo
Alnasl,18.096803,-30.424091,2.98,Sgr
Gamma Hya,13.315359,-23.171512,2.99,Hya
Iota-1 Sco,17.793078,-40.126997,2.99,Sco
Okab,19.090169,13.863478,2.99,Aql
Beta Tri,2.159058,34.987297,3.0,Tri
Psi UMa,11.161062,44.498487,3.0,UMa
Pherkad,15.345483,71.834016,3.0,UMi
Xamidimura,16.864509,-38.04738,3.0,Sco
Aldhanab,21.898808,-37.364852,3.0,Gru
Delta Per,3.715416,47.787551,3.01,Per
Furud,6.338553,-30.063367,3.02,CMa
Omicron-2 CMa,7.050409,-23.833291,3.02,CMa
Epsilon Crv,12.168746,-22.619766,3.02,Crv
Almaaz,5.032815,43.823308,3.03,Aur
Beta Mus,12.771346,-68.108119,3.04,Mus
Seginus,14.534636,38.308253,3.04,Boo
Albireo,19.512023,27.959681,3.05,Cyg
Dabih,20.350187,-14.781367,3.05,Cap
Mebsuta,6.732202,25.131124,3.06,Gem
Tania Australis,10.372155,41.499516,3.06,UMa
Altais,19.209225,67.661541,3.07,Dra
Eta Sgr,18.293793,-36.761686,3.1,Sgr
Zeta Hya,8.92323,5.945563,3.11,Hya
Nu Hya,10.827079,-16.193648,3.11,Hya
Lambda Cen,11.596363,-63.019841,3.11,Cen
Alpha Ind,20.626116,-47.291502,3.11,Ind
Wazn,5.849329,-35.768309,3.12,Col
Talitha,8.986828,48.041826,3.12,UMa
Zeta Ara,16.977006,-55.990141,3.12,Ara
Sarin,17.250531,24.839204,3.12,Her
Kappa Cen,14.986025,-42.104194,3.13,Cen
Alpha Lyn,9.350925,34.392562,3.14,Lyn
HIP 46701,9.520371,-57.034377,3.16,Vel
Pi Her,17.250788,36.809162,3.16,Her
Nu Pup,6.629353,-43.195934,3.17,Pup
Theta UMa,9.547715,51.6773,3.17,UMa
Aldhibah,17.146448,65.714683,3.17,Dra
Phi Sgr,18.76094,-26.990778,3.17,Sgr
Haedus,5.10858,41.234474,3.18,Aur
Alpha Cir,14.708492,-64.975138,3.18,Cir
Tabit,4.830669,6.961276,3.19,Ori
Epsilon Lep,5.091018,-22.371032,3.19,Lep
Kappa Oph,16.961139,9.375033,3.19,Oph
Fuyue,17.830965,-37.043304,3.19,Sco
Zeta Cyg,21.215607,30.226916,3.21,Cyg
Errai,23.65582,77.632276,3.21,Cep
Delta Lup,15.356201,-40.647518,3.22,Lup
Yed Posterior,16.305358,-4.692511,3.23,Oph
Eta Ser,18.355167,-2.898825,3.23,Ser
Alfirk,21.477662,70.560716,3.23,Cep
Alpha Pic,6.803194,-61.941391,3.24,Pic
Theta Aql,20.188413,-0.821461,3.24,Aql
Sigma Pup,7.487179,-43.301432,3.25,Pup
Pi Hya,14.106193,-26.682361,3.25,Hya
Brachium,15.067839,-25.281965,3.25,Lib
Sulafat,18.982395,32.689557,3.25,Lyr
Gamma Hyi,3.787295,-74.238962,3.26,Hyi
Delta And,0.655462,30.861024,3.27,And
Theta Oph,17.366827,-24.999545,3.27,Oph
Skat,22.910837,-15.82082,3.27,Aqr
Mu Lep,5.215528,-16.205468,3.29,Lep
Omega Car,10.228961,-70.037903,3.29,Car
Edasich,15.415494,58.966065,3.29,Dra
Alpha Dor,4.566598,-55.044975,3.3,Dor
HIP 51576,10.533743,-61.685332,3.3,Car
Propus,6.247961,22.506799,3.31,Gem
Gamma Ara,17.423239,-56.377727,3.31,Ara
Beta Phe,1.101407,-46.718414,3.32,Phe
Rho Per,3.08627,38.840274,3.32,Per
Megrez,12.257086,57.032617,3.32,UMa
Eta Sco,17.202552,-43.239189,3.32,Sco
Nu Oph,17.983775,-9.773632,3.32,Oph
Tau Sgr,19.11567,-27.670423,3.32,Sgr
Alpha Ret,4.240404,-62.473858,3.33,Ret
Chertan,11.237335,15.42957,3.33,Leo
Azmidi,7.821571,-24.859786,3.34,Pup
Segin,1.906584,63.670101,3.35,Cas
Eta Ori,5.407949,-2.397146,3.35,Ori
Alzirr,6.754824,12.895591,3.35,Gem
Muscida,8.504431,60.718169,3.35,UMa
Delta Aql,19.424972,3.114775,3.36,Aql
Epsilon Lup,15.378021,-44.689622,3.37,Lup
Ashlesha,8.779587,6.418809,3.38,Hya
Heze,13.57822,-0.59582,3.38,Vir
Meissa,5.585633,9.934158,3.39,Ori
HIP 50371,10.28472,-61.332304,3.39,Car
Minelauva,12.926725,3.39747,3.39,Vir
Zeta Cep,22.180908,58.201261,3.39,Cep
Chamukuy,4.477705,15.870883,3.4,Tau
HYG 119131,17.172783,-15.726921,3.4,Oph
Gamma Phe,1.472759,-43.318234,3.41,Phe
Lambda Tau,4.011338,12.490347,3.41,Tau
Nu Cen,13.825078,-41.687709,3.41,Cen
Zeta Lup,15.20476,-52.099247,3.41,Lup
Eta Cep,20.754811,61.838782,3.41,Cep
Homam,22.691033,10.831364,3.41,Peg
Mothallah,1.884696,29.578829,3.42,Tri
Eta Lup,16.002036,-38.396706,3.42,Lup
Mu Her,17.774319,27.720676,3.42,Her
Beta Pav,20.749314,-66.203212,3.42,Pav
HIP 45080,9.182804,-58.966896,3.43,Car
Adhafera,10.278171,23.417311,3.43,Leo
Lambda Aql,19.10415,-4.882554,3.43,Aql
Tania Borealis,10.284952,42.914365,3.45,UMa
Achird,0.81826,57.815187,3.46,Cas
Eta Cet,1.143164,-10.182264,3.46,Cet
Chi Car,7.946313,-52.98236,3.46,Car
Delta Boo,15.258376,33.314833,3.46,Boo
Kaffaljidhma,2.721678,3.235818,3.47,Cet
Mu Cen,13.826943,-42.473732,3.47,Cen
Eta Leo,10.122209,16.762664,3.48,Leo
Eta Her,16.714933,38.922254,3.48,Her
Tau Cet,1.734479,-15.93748,3.49,Cet
Nganurganity,7.028652,-27.93483,3.49,CMa
Alula Borealis,11.307983,33.094306,3.49,UMa
Nekkar,15.032436,40.390566,3.49,Boo
Alpha Tel,18.449561,-45.968459,3.49,Tel
Epsilon Gru,22.809239,-51.316864,3.49,Gru
Kappa CMa,6.830683,-32.508478,3.5,CMa
Wasat,7.335383,21.98232,3.5,Gem
Iota Cep,22.82802,66.200408,3.5,Cep
Gamma Sge,19.979285,19.492148,3.51,Sge
Sadalbari,22.833385,24.601579,3.51,Peg
Rana,3.720806,-9.763395,3.52,Eri
Subra,9.685843,9.892308,3.52,Leo
Phi Vel,9.947708,-54.56779,3.52,Vel
Sheliak,18.834665,33.362667,3.52,Lyr
Xi-2 Sgr,18.962167,-21.106654,3.52,Sgr
Biham,22.169996,6.197865,3.52,Peg
Gamma Vir,12.694171,-1.449235,3.52,Vir
Ain,4.476943,19.180431,3.53,Tau
Tarf,8.275256,9.185545,3.53,Cnc
Xi Hya,11.550038,-31.857625,3.54,Hya
Mu Ser,15.827002,-3.430208,3.54,Ser
Xi Ser,17.626445,-15.398557,3.54,Ser
Upsilon-4 Eri,4.298237,-33.798348,3.55,Eri
Zeta Lep,5.782595,-14.82195,3.55,Lep
Iota Lup,14.323396,-46.058093,3.55,Lup
Chi Dra,18.350736,72.732843,3.55,Dra
Delta Pav,20.145157,-66.182068,3.55,Pav
Iota Cet,0.323799,-8.823921,3.56,Cet
Phi Eri,2.275154,-51.512165,3.56,Eri
Delta Crt,11.322347,-14.778541,3.56,Crt
Pipirima,16.872263,-38.017536,3.56,Sco
Kappa Gem,7.740793,24.397993,3.57,Gem
Alkaphrah,9.060427,47.156525,3.57,UMa
Rho Boo,14.5305,30.371437,3.57,Boo
Phi-1 Lup,15.36344,-36.261376,3.57,Lup
Lambda Gem,7.30155,16.540383,3.58,Gem
Algedi,20.300904,-12.544852,3.58,Cap
Nembus,1.633205,48.628213,3.59,And
Tau Ori,5.293442,-6.844409,3.59,Ori
Gamma Lep,5.741057,-22.448382,3.59,Lep
Zavijava,11.844922,1.764718,3.59,Vir
Ginan,12.356031,-60.401147,3.59,Cru
Theta Cet,1.40039,-8.183257,3.6,Cet
Theta Gem,6.879816,33.961254,3.6,Gem
Omicron Vel,8.671554,-52.921887,3.6,Vel
Psi Vel,9.511674,-40.466769,3.6,Vel
Upsilon Lib,15.61707,-28.135079,3.6,Lib
Delta Ara,17.518318,-60.683848,3.6,Ara
Bharani,2.833063,27.260507,3.61,Ari
Omicron Tau,3.413554,9.02887,3.61,Tau
Lambda Hya,10.176467,-12.354083,3.61,Hya
Delta Mus,13.037759,-71.548855,3.61,Mus
Eta Pav,17.762221,-64.723871,3.61,Pav
Alpherg,1.524725,15.345823,3.62,Psc
Atlas,3.819373,24.053415,3.62,Tau
HIP 37819,7.754249,-37.968584,3.62,Pup
Zeta-2 Sco,16.909731,-42.361313,3.62,Sco
Omicron And,23.032017,42.325979,3.62,And
Lambda Mus,11.760141,-66.728763,3.63,Mus
Rotanev,20.625816,14.595087,3.64,Del
Prima Hyadum,4.329889,15.627642,3.65,Tau
23 UMa,9.525453,63.061861,3.65,UMa
Beta Ser,15.769793,15.421826,3.65,Ser
Theta Ara,18.11052,-50.091477,3.65,Ara
Zeta-1 Aqr,22.480531,-0.019972,3.65,Aqr
Nusakan,15.463818,29.105703,3.66,CrB
Tau Lib,15.64427,-29.777754,3.66,Lib
Thuban,14.073165,64.37585,3.67,Dra
Beta Ind,20.913498,-58.454155,3.67,Ind
Pi-4 Ori,4.853434,5.605104,3.68,Ori
Alpha Pyx,8.726539,-33.186385,3.68,Pyx
Delta Sge,19.789795,18.534286,3.68,Sge
88 Aqr,23.157443,-21.17241,3.68,Aqr
Fulu,0.616188,53.896909,3.69,Cas
Chi Eri,1.932564,-51.608896,3.69,Eri
Saclateni,5.041301,41.075837,3.69,Aur
HIP 47854,9.754117,-62.507903,3.69,Car
Taiyangshou,11.767515,47.779406,3.69,UMa
Nashira,21.668181,-16.662308,3.69,Cap
Tau-4 Eri,3.325278,-21.757864,3.7,Eri
Xi Her,17.962744,29.24788,3.7,Her
Gamma Psc,23.286094,3.282289,3.7,Psc
Pi-5 Ori,4.904193,2.440672,3.71,Ori
Eta Lep,5.940082,-14.1677,3.71,Lep
HIP 38414,7.870288,-40.575786,3.71,Pup
Epsilon Ser,15.846935,4.47773,3.71,Ser
72 Oph,18.122496,9.563847,3.71,Oph
Alshain,19.921887,6.406763,3.71,Aql
Ran,3.548848,-9.458262,3.72,Eri
Electra,3.747927,24.113339,3.72,Tau
Delta Aur,5.992111,54.284656,3.72,Aur
Xi Cyg,21.082184,43.927852,3.72,Cyg
Xi Tau,3.45282,9.73268,3.73,Tau
109 Vir,14.770812,1.892885,3.73,Vir
Grumium,17.892134,56.872643,3.73,Dra
Nu Oct,21.691253,-77.390046,3.73,Oct
Lambda Aqr,22.87691,-7.579599,3.73,Aqr
Baten Kaitos,1.857676,-10.335038,3.74,Cet
Gamma Her,16.365338,19.15313,3.74,Her
Tau Cyg,21.246517,38.045317,3.74,Cyg
HIP 44511,9.069248,-47.097737,3.75,Vel
Gamma Oph,17.798211,2.707276,3.75,Oph
Beta Dor,5.560421,-62.489825,3.76,Dor
Delta Lep,5.855357,-20.879089,3.76,Lep
Beta Mon,6.480297,-7.033062,3.76,Mon
Omicron Sgr,19.07805,-21.741496,3.76,Sgr
Iota-2 Cyg,19.495098,51.729779,3.76,Cyg
Alpha Lac,22.521515,50.282491,3.76,Lac
Miram,2.844945,55.895496,3.77,Per
Nu Per,3.753232,42.578549,3.77,Per
Secunda Hyadum,4.382247,17.542514,3.77,Tau
Sigma Ori,5.645769,-2.600069,3.77,Ori
Beta Vol,8.428951,-66.13689,3.77,Vol
HIP 42570,8.677103,-46.648744,3.77,Vel
Eta Ara,16.82976,-59.041378,3.77,Ara
Sualocin,20.660635,15.912072,3.77,Del
Zeta Cap,21.444452,-22.411332,3.77,Cap
Iota Peg,22.116847,25.345112,3.77,Peg
Gamma-2 Vol,7.145788,-70.498932,3.78,Vol
Iota Gem,7.428779,27.79808,3.78,Gem
Upsilon UMa,9.849867,59.038735,3.78,UMa
HIP 53253,10.891559,-58.853171,3.78,Car
Zeta Boo,14.68582,13.7283,3.78,Boo
Albali,20.794598,-9.495776,3.78,Aqr
Misam,3.158258,44.857544,3.79,Per
Praecipua,10.888526,34.214871,3.79,LMi
Dalim,3.201249,-28.987618,3.8,For
HIP 37229,7.647186,-26.803836,3.8,Pup
Delta Ser,15.580041,10.538867,3.8,Ser
Kappa Cyg,19.28504,53.368459,3.8,Cyg
31 Cyg,20.227196,46.741329,3.8,Cyg
Theemin,4.592512,-30.562341,3.81,Eri
HIP 51232,10.464649,-58.739403,3.81,Car
Gamma CrB,15.712381,26.295637,3.81,CrB
Lambda And,23.626056,46.458152,3.81,And
Alrescha,2.034117,2.763759,3.82,Psc
38 Lyn,9.314069,36.802597,3.82,Lyn
Giausar,11.523407,69.331076,3.82,Dra
Marfik,16.515229,1.983923,3.82,Oph
Iota Her,17.657747,46.006332,3.82,Her
Mu Hya,10.434842,-16.83629,3.83,Hya
Phi Cen,13.971186,-42.100753,3.83,Cen
Alpha Aps,14.797701,-79.044751,3.83,Aps
Beta Ret,3.736593,-64.806903,3.84,Ret
Atik,3.738648,32.288248,3.84,Per
Theta-1 Tau,4.476248,15.962181,3.84,Tau
HIP 43783,8.917457,-60.644609,3.84,Car
Rho Leo,10.546853,9.306586,3.84,Leo
HIP 51986,10.621717,-48.22562,3.84,Vel
Gamma Mus,12.541134,-72.132988,3.84,Mus
Omicron Her,18.125708,28.762488,3.84,Her
Polis,18.229392,-21.058834,3.84,Sgr
Epsilon Dra,19.80285,70.26793,3.84,Dra
Alpha Hor,4.233363,-42.294368,3.85,Hor
Beta Pic,5.788079,-51.066514,3.85,Pic
Delta Col,6.368564,-33.4364,3.85,Col
HIP 50191,10.245607,-42.121942,3.85,Vel
Kappa Dra,12.558058,69.788238,3.85,Dra
Tau Cen,12.628394,-48.541304,3.85,Cen
Gamma Ser,15.940882,15.661617,3.85,Ser
109 Her,18.394967,21.769752,3.85,Her
Alpha Sct,18.586785,-8.244073,3.85,Sct
Mu And,0.945885,38.499345,3.86,And
Sceptrum,4.63634,-14.30402,3.86,Eri
Epsilon Col,5.520209,-35.470519,3.86,Col
Delta TrA,16.257297,-63.685682,3.86,TrA
Gamma Aps,16.557609,-78.897148,3.86,Aps
Theta Her,17.93755,37.250539,3.86,Her
Sadachbia,22.360938,-1.387331,3.86,Aqr
Maia,3.763779,24.367748,3.87,Tau
HIP 43023,8.767124,-46.041527,3.87,Vel
Upsilon-1 Cen,13.977987,-44.803584,3.87,Cen
Mu Vir,14.717673,-5.658207,3.87,Vir
Iklil,15.948077,-29.214073,3.87,Sco
Eta Aql,19.874547,1.005661,3.87,Aql
Epsilon Phe,0.156836,-45.747426,3.88,Phe
Mesarthim,1.89217,19.293852,3.88,Ari
Rasalas,9.879398,26.006951,3.88,Leo
Kappa-1 Lup,15.198918,-48.737819,3.88,Lup
Iota Gru,23.17264,-45.246711,3.88,Gru
Azha,2.940458,-8.898144,3.89,Eri
Omicron-1 CMa,6.902209,-24.184211,3.89,CMa
Theta Hya,9.239405,2.31428,3.89,Hya
Zaniah,12.331766,-0.666803,3.89,Vir
Eta Cyg,19.938438,35.083424,3.89,Cyg
Ukdah,9.664267,-1.14281,3.9,Hya
Pi Cen,11.350117,-54.491019,3.9,Cen
HIP 65936,13.517405,-39.407307,3.9,Cen
Nu Tau,4.052606,5.989305,3.91,Tau
HIP 41307,8.427676,-3.906424,3.91,Hya
Sigma Cen,12.467331,-50.230635,3.91,Cen
Pi Lup,15.085303,-47.051245,3.91,Lup
Zubenelhakrabi,15.592105,-14.789537,3.91,Lib
Tau Her,16.329011,46.313366,3.91,Her
Epsilon Her,17.004827,30.926405,3.92,Her
Rho-1 Sgr,19.361211,-17.847197,3.92,Sgr
Kitalpha,21.263731,5.247845,3.92,Equ
Kappa Phe,0.436716,-43.679829,3.93,Phe
Delta Phe,1.520851,-49.072702,3.93,Phe
Tau Per,2.904295,52.762479,3.93,Per
Nu Eri,4.605317,-3.352459,3.93,Eri
Zeta Vol,7.697004,-72.606098,3.93,Vol
HIP 54463,11.143165,-58.975037,3.93,Car
Omega-1 Sco,16.113452,-20.669192,3.93,Sco
67 Oph,18.010754,2.931568,3.93,Oph
Wurren,1.139742,-55.24576,3.94,Phe
Alpha Mon,7.687454,-9.551131,3.94,Mon
3 Pup,7.73013,-28.954826,3.94,Pup
Asellus Australis,8.74475,18.154309,3.94,Cnc
Nu Cyg,20.952893,41.167136,3.94,Cyg
50 Cas,2.057268,72.421294,3.95,Cas
Nu-2 CMa,6.611399,-19.255879,3.95,CMa
Zeta UMa,13.398996,54.920471,3.95,UMa
48 Per,4.144357,47.712513,3.96,Per
Eta Col,5.985778,-42.815135,3.96,Col
HIP 44248,9.010685,41.782911,3.96,Lyn
HIP 45101,9.187985,-62.316977,3.96,Car
Arkab Prior,19.377303,-44.458965,3.96,Sgr
Rukbat,19.398103,-40.61594,3.96,Sgr
32 Cyg,20.257867,47.714208,3.96,Cyg
98 Aqr,23.382842,-20.10058,3.96,Aqr
Beemim,4.400613,-34.016846,3.97,Eri
Nu Aur,5.858166,39.14848,3.97,Aur
Delta Vol,7.280508,-67.957152,3.97,Vol
Beta Pyx,8.668373,-35.308352,3.97,Pyx
Rho Cen,12.194202,-52.36846,3.97,Cen
Chi Lup,15.849316,-33.627165,3.97,Lup
Epsilon Pav,20.009845,-72.910504,3.97,Pav
Delta-1 Gru,22.487825,-43.495565,3.97,Gru
Lambda Peg,22.775521,23.565654,3.97,Peg
Menkib,3.98275,35.791033,3.98,Per
Rho Cyg,21.56635,45.591837,3.98,Cyg
Upsilon Cet,2.000084,-21.077831,3.99,Cet
Gamma Mon,6.247592,-6.274776,3.99,Mon
HIP 50954,10.406592,-74.031612,3.99,Car
Alcor,13.420413,54.987958,3.99,UMa
Gamma Tuc,23.290498,-58.235734,3.99,Tuc
Alpha Vol,9.040777,-66.396076,4.0,Vol
Iota Leo,11.398736,10.529509,4.0,Leo
Jabbah,16.199926,-19.460708,4.0,Sco
Phi Per,1.727675,50.688732,4.01,Per
Mu Eri,4.758375,-3.254657,4.01,Eri
Mekbuda,7.068481,20.570297,4.01,Gem
Omega CMa,7.246849,-26.772667,4.01,CMa
HIP 71865,14.699332,-37.793498,4.01,Cen
Theta Dra,16.031532,58.565251,4.01,Dra
Gamma-2 Nor,16.330687,-50.155508,4.01,Nor
Zeta Pav,18.71726,-71.428113,4.01,Pav
41 Cyg,20.489926,30.368555,4.01,Cyg
Gamma Pyx,8.842204,-27.709844,4.02,Pyx
Alchiba,12.140225,-24.728875,4.02,Crv
Epsilon Aql,18.993711,15.068298,4.02,Aql
12 Aql,19.028008,-5.739115,4.02,Aql
Gamma Tri,2.288573,33.847194,4.03,Tri
Beta Cam,5.05697,60.442245,4.03,Cam
Iota Cnc,8.778284,28.759898,4.03,Cnc
Mu-1 Cru,12.9099,-57.177924,4.03,Cru
70 Oph,18.090913,2.500099,4.03,Oph
Aldulfin,20.553547,11.303263,4.03,Del
Omega Psc,23.988525,6.863321,4.03,Psc
Beid,4.197761,-6.837581,4.04,Eri
Nu Vir,11.764322,6.529376,4.04,Vir
Theta Boo,14.419967,51.850744,4.04,Boo
Eta Aqr,22.589272,-0.117498,4.04,Aqr
Iota Per,3.151005,49.613278,4.05,Per
Alpha Cha,8.308703,-76.919722,4.05,Cha
HIP 42884,8.739987,-42.649276,4.05,Vel
Sigma Leo,11.352276,6.029322,4.05,Leo
Upsilon Boo,13.824623,15.797905,4.05,Boo
